Age,ALCOHOL,MARIJUANA,OPIATES,COCAINE,STIMULANTS
12,421,661,9,3,141
13,1361,3266,48,27,175
14,2497,9169,154,120,243
15,4367,18871,440,350,466
16,6892,26358,779,642,801
17,8825,26189,1744,944,1060
18,8726,15323,3760,1307,1184
19,11213,14594,7203,1862,1857
20,12875,14617,10186,2475,2609
21,15570,13336,11880,2746,3185
22,16687,12949,13584,3099,3639
23,17305,11879,14270,3586,3942
24,17241,10889,14363,3913,4420
25,17329,10284,14550,4134,4593
26,17587,9587,14279,4589,4752
27,17565,9037,13766,4825,4913
28,17393,8145,13311,4974,4691
29,16346,7085,11938,4981,4423
30,15657,6321,11067,4863,4142
31,15316,5603,9605,4862,3954
32,14191,4874,8619,4685,3605
33,14619,4325,8272,4820,3374
34,14087,3977,7922,4984,3382
35,15129,3633,7700,5313,3292
36,16386,3606,8149,6123,3328
37,18489,3380,8738,6971,3509
38,19003,3163,8553,7246,3407
39,19135,2804,8257,7456,3149
40,19531,2637,8248,7460,2897
41,20300,2428,8344,7743,2707
42,22092,2320,8493,7872,2644
43,22795,2321,8288,8144,2518
44,24452,2132,8488,7962,2441
45,24570,2032,7653,7635,2332
46,23821,1921,7452,7212,2118
47,23103,1651,7339,6588,1900
48,21316,1434,7031,5984,1644
49,19177,1222,6630,5511,1428
50,18059,1139,6036,4740,1114
51,16220,923,5609,3993,924
52,13965,769,5229,3163,752
53,12705,628,4709,2774,617
54,10884,547,4136,2105,483
55,9569,445,3542,1742,365
56,8274,353,2863,1339,249
57,6833,296,2409,1162,218
58,5872,235,1973,879,165
59,4829,211,1567,681,122
60,4194,132,1248,547,83
61,3505,111,915,450,78
62,2444,61,561,293,36
63,2264,52,466,195,40
64,1794,41,422,177,18
65,1582,43,310,139,17
66,1239,26,202,101,8
67,1038,32,179,89,13
68,892,14,155,53,5
69,797,12,106,37,7
70,556,14,54,41,5
